,Occupation_Code,Occupation_Title,Total_Employees,Mean_Annual_Wage,Annual_10th_Percentile_Wage,Annual_25th_Percentile_Wage,Annual_Median_Wage,Annual_75th_Percentile_Wage,Annual_90th_Percentile_Wage
183,17-2071,Electrical Engineers,"183,770","98,620","59,720","73,910","94,210","119,690","149,040"
184,17-2072,"Electronics Engineers, Except Computer","132,100","103,760","63,760","78,070","99,210","124,030","155,330"
185,17-2080,Environmental Engineers,"52,280","88,530","49,830","63,860","84,890","107,920","130,120"
186,17-2081,Environmental Engineers,"52,280","88,530","49,830","63,860","84,890","107,920","130,120"
187,17-2110,"Industrial Engineers, Including Health and Safety","281,950","88,680","53,780","67,200","84,510","105,770","129,760"
188,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","25,410","90,190","50,580","65,490","86,720","110,760","134,110"
189,17-2112,Industrial Engineers,"256,550","88,530","54,070","67,330","84,310","105,230","129,390"
190,17-2120,Marine Engineers and Naval Architects,"8,120","99,860","58,580","72,600","93,350","120,210","152,450"
191,17-2121,Marine Engineers and Naval Architects,"8,120","99,860","58,580","72,600","93,350","120,210","152,450"
192,17-2130,Materials Engineers,"26,800","97,050","54,870","70,620","93,310","121,120","148,840"
193,17-2131,Materials Engineers,"26,800","97,050","54,870","70,620","93,310","121,120","148,840"
194,17-2140,Mechanical Engineers,"285,790","89,800","54,420","67,070","84,190","106,420","131,350"
195,17-2141,Mechanical Engineers,"285,790","89,800","54,420","67,070","84,190","106,420","131,350"
196,17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers","6,940","103,010","55,490","70,630","93,720","127,420","160,510"
197,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers","6,940","103,010","55,490","70,630","93,720","127,420","160,510"
198,17-2160,Nuclear Engineers,"17,680","105,950","65,570","82,770","102,220","124,420","152,420"
199,17-2161,Nuclear Engineers,"17,680","105,950","65,570","82,770","102,220","124,420","152,420"
200,17-2170,Petroleum Engineers,"32,780","147,030","73,000","97,430","128,230","179,450",#
201,17-2171,Petroleum Engineers,"32,780","147,030","73,000","97,430","128,230","179,450",#
202,17-2190,Miscellaneous Engineers,"123,390","99,250","52,570","71,490","97,300","124,960","152,970"
203,17-2199,"Engineers, All Other","123,390","99,250","52,570","71,490","97,300","124,960","152,970"
204,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians","688,900","57,530","33,040","41,970","54,940","70,000","86,310"
